Strategy,Total,Pit in Laps
2-stop S→S→M   ,86:24.205,"[22, 44]"
2-stop S→M→S   ,86:24.205,"[22, 44]"
2-stop M→S→S   ,86:24.205,"[22, 44]"
2-stop S→S→M   ,86:24.286,"[21, 43]"
2-stop S→S→M   ,86:24.286,"[22, 43]"
2-stop S→M→S   ,86:24.286,"[21, 44]"
2-stop S→M→S   ,86:24.286,"[22, 45]"
2-stop M→S→S   ,86:24.286,"[23, 44]"
2-stop M→S→S   ,86:24.286,"[23, 45]"
2-stop S→S→M   ,86:24.287,"[22, 45]"
2-stop S→S→M   ,86:24.287,"[23, 45]"
2-stop S→M→S   ,86:24.287,"[22, 43]"
2-stop S→M→S   ,86:24.287,"[23, 44]"
2-stop M→S→S   ,86:24.287,"[21, 43]"
2-stop M→S→S   ,86:24.287,"[21, 44]"
2-stop S→S→M   ,86:24.340,"[21, 44]"
2-stop S→S→M   ,86:24.340,"[23, 44]"
2-stop S→M→S   ,86:24.340,"[21, 43]"
2-stop S→M→S   ,86:24.340,"[23, 45]"
2-stop M→S→S   ,86:24.340,"[22, 43]"
2-stop M→S→S   ,86:24.340,"[22, 45]"
2-stop S→S→M   ,86:24.395,"[21, 42]"
2-stop S→M→S   ,86:24.395,"[21, 45]"
2-stop M→S→S   ,86:24.395,"[24, 45]"
2-stop S→S→M   ,86:24.397,"[23, 46]"
2-stop S→M→S   ,86:24.397,"[23, 43]"
2-stop M→S→S   ,86:24.397,"[20, 43]"
2-stop S→S→M   ,86:24.530,"[20, 42]"
2-stop S→S→M   ,86:24.530,"[22, 42]"
2-stop S→M→S   ,86:24.530,"[20, 44]"
2-stop S→M→S   ,86:24.530,"[22, 46]"
2-stop M→S→S   ,86:24.530,"[24, 44]"
2-stop M→S→S   ,86:24.530,"[24, 46]"
2-stop S→S→M   ,86:24.532,"[22, 46]"
2-stop S→S→M   ,86:24.532,"[24, 46]"
2-stop S→M→S   ,86:24.532,"[22, 42]"
2-stop S→M→S   ,86:24.532,"[24, 44]"
2-stop M→S→S   ,86:24.532,"[20, 42]"
2-stop M→S→S   ,86:24.532,"[20, 44]"
2-stop S→S→M   ,86:24.556,"[20, 43]"
2-stop S→S→M   ,86:24.556,"[23, 43]"
2-stop S→M→S   ,86:24.556,"[20, 43]"
2-stop S→M→S   ,86:24.556,"[23, 46]"
2-stop M→S→S   ,86:24.556,"[23, 43]"
2-stop M→S→S   ,86:24.556,"[23, 46]"
2-stop S→S→M   ,86:24.557,"[21, 45]"
2-stop S→M→S   ,86:24.557,"[24, 45]"
2-stop S→S→M   ,86:24.557,"[24, 45]"
2-stop S→M→S   ,86:24.557,"[21, 42]"
2-stop M→S→S   ,86:24.557,"[21, 42]"
2-stop M→S→S   ,86:24.557,"[21, 45]"
2-stop S→S→M   ,86:24.667,"[20, 41]"
2-stop S→S→M   ,86:24.667,"[21, 41]"
2-stop S→M→S   ,86:24.667,"[20, 45]"
2-stop S→M→S   ,86:24.667,"[21, 46]"
2-stop M→S→S   ,86:24.667,"[25, 45]"
2-stop M→S→S   ,86:24.667,"[25, 46]"
2-stop S→S→M   ,86:24.670,"[23, 47]"
2-stop S→S→M   ,86:24.670,"[24, 47]"
2-stop S→M→S   ,86:24.670,"[23, 42]"
2-stop S→M→S   ,86:24.670,"[24, 43]"
2-stop M→S→S   ,86:24.670,"[19, 42]"
2-stop M→S→S   ,86:24.670,"[19, 43]"
2-stop S→S→M   ,86:24.745,"[20, 44]"
2-stop S→S→M   ,86:24.745,"[24, 44]"
2-stop S→M→S   ,86:24.745,"[20, 42]"
2-stop S→M→S   ,86:24.745,"[24, 46]"
2-stop M→S→S   ,86:24.745,"[22, 42]"
2-stop M→S→S   ,86:24.745,"[22, 46]"
2-stop S→S→M   ,86:24.935,"[19, 42]"
2-stop S→S→M   ,86:24.935,"[23, 42]"
2-stop S→M→S   ,86:24.935,"[19, 43]"
2-stop S→M→S   ,86:24.935,"[23, 47]"
2-stop M→S→S   ,86:24.935,"[24, 43]"
2-stop M→S→S   ,86:24.935,"[24, 47]"
2-stop S→S→M   ,86:24.937,"[19, 41]"
2-stop S→S→M   ,86:24.937,"[21, 46]"
2-stop S→S→M   ,86:24.937,"[22, 41]"
2-stop S→S→M   ,86:24.937,"[25, 46]"
2-stop S→M→S   ,86:24.937,"[19, 44]"
2-stop S→M→S   ,86:24.937,"[21, 41]"
2-stop S→M→S   ,86:24.937,"[22, 47]"
2-stop S→M→S   ,86:24.937,"[25, 45]"
2-stop M→S→S   ,86:24.937,"[20, 41]"
2-stop M→S→S   ,86:24.937,"[20, 45]"
2-stop M→S→S   ,86:24.937,"[25, 44]"
2-stop M→S→S   ,86:24.937,"[25, 47]"
2-stop S→S→M   ,86:24.940,"[22, 47]"
2-stop S→S→M   ,86:24.940,"[25, 47]"
2-stop S→M→S   ,86:24.940,"[22, 41]"
2-stop S→M→S   ,86:24.940,"[25, 44]"
2-stop M→S→S   ,86:24.940,"[19, 41]"
2-stop M→S→S   ,86:24.940,"[19, 44]"
2-stop S→S→M   ,86:24.967,"[20, 40]"
2-stop S→M→S   ,86:24.967,"[20, 46]"
2-stop M→S→S   ,86:24.967,"[26, 46]"
2-stop S→S→M   ,86:24.971,"[24, 48]"
2-stop S→M→S   ,86:24.971,"[24, 42]"
2-stop M→S→S   ,86:24.971,"[18, 42]"
2-stop S→S→M   ,86:25.096,"[19, 43]"
2-stop S→S→M   ,86:25.096,"[24, 43]"
2-stop S→M→S   ,86:25.096,"[19, 42]"
2-stop S→M→S   ,86:25.096,"[24, 47]"
2-stop M→S→S   ,86:25.096,"[23, 42]"
2-stop M→S→S   ,86:25.096,"[23, 47]"
2-stop S→S→M   ,86:25.097,"[20, 45]"
2-stop S→S→M   ,86:25.097,"[25, 45]"
2-stop S→M→S   ,86:25.097,"[20, 41]"
2-stop S→M→S   ,86:25.097,"[25, 46]"
2-stop M→S→S   ,86:25.097,"[21, 41]"
2-stop M→S→S   ,86:25.097,"[21, 46]"
2-stop S→S→M   ,86:25.102,"[19, 40]"
2-stop S→S→M   ,86:25.102,"[21, 40]"
2-stop S→M→S   ,86:25.102,"[19, 45]"
2-stop S→M→S   ,86:25.102,"[21, 47]"
2-stop M→S→S   ,86:25.102,"[26, 45]"
2-stop M→S→S   ,86:25.102,"[26, 47]"
2-stop S→S→M   ,86:25.106,"[23, 48]"
2-stop S→S→M   ,86:25.106,"[25, 48]"
2-stop S→M→S   ,86:25.106,"[23, 41]"
2-stop S→M→S   ,86:25.106,"[25, 43]"
2-stop M→S→S   ,86:25.106,"[18, 41]"
2-stop M→S→S   ,86:25.106,"[18, 43]"
2-stop S→S→M   ,86:25.420,"[19, 44]"
2-stop S→S→M   ,86:25.420,"[25, 44]"
2-stop S→M→S   ,86:25.420,"[19, 41]"
2-stop S→M→S   ,86:25.420,"[25, 47]"
2-stop M→S→S   ,86:25.420,"[22, 41]"
2-stop M→S→S   ,86:25.420,"[22, 47]"
2-stop S→S→M   ,86:25.435,"[24, 49]"
2-stop S→S→M   ,86:25.435,"[25, 49]"
2-stop S→M→S   ,86:25.435,"[24, 41]"
2-stop S→M→S   ,86:25.435,"[25, 42]"
2-stop M→S→S   ,86:25.435,"[17, 41]"
2-stop M→S→S   ,86:25.435,"[17, 42]"
2-stop S→S→M   ,86:25.477,"[18, 41]"
2-stop S→S→M   ,86:25.477,"[23, 41]"
2-stop S→M→S   ,86:25.477,"[18, 43]"
2-stop S→M→S   ,86:25.477,"[23, 48]"
2-stop M→S→S   ,86:25.477,"[25, 43]"
2-stop M→S→S   ,86:25.477,"[25, 48]"
2-stop S→S→M   ,86:25.480,"[21, 47]"
2-stop S→S→M   ,86:25.480,"[26, 47]"
2-stop S→M→S   ,86:25.480,"[21, 40]"
2-stop S→M→S   ,86:25.480,"[26, 45]"
2-stop M→S→S   ,86:25.480,"[19, 40]"
2-stop M→S→S   ,86:25.480,"[19, 45]"
2-stop S→S→M   ,86:25.507,"[18, 40]"
2-stop S→S→M   ,86:25.507,"[22, 40]"
2-stop S→M→S   ,86:25.507,"[18, 44]"
2-stop S→M→S   ,86:25.507,"[22, 48]"
2-stop M→S→S   ,86:25.507,"[26, 44]"
2-stop M→S→S   ,86:25.507,"[26, 48]"
2-stop S→S→M   ,86:25.510,"[19, 39]"
2-stop S→S→M   ,86:25.510,"[20, 39]"
2-stop S→M→S   ,86:25.510,"[19, 46]"
2-stop S→M→S   ,86:25.510,"[20, 47]"
2-stop M→S→S   ,86:25.510,"[27, 46]"
2-stop M→S→S   ,86:25.510,"[27, 47]"
2-stop S→S→M   ,86:25.511,"[22, 48]"
2-stop S→S→M   ,86:25.511,"[26, 48]"
2-stop S→M→S   ,86:25.511,"[22, 40]"
2-stop S→M→S   ,86:25.511,"[26, 44]"
2-stop M→S→S   ,86:25.511,"[18, 40]"
2-stop M→S→S   ,86:25.511,"[18, 44]"
2-stop S→S→M   ,86:25.610,"[18, 42]"
2-stop S→S→M   ,86:25.610,"[24, 42]"
2-stop S→M→S   ,86:25.610,"[18, 42]"
2-stop S→M→S   ,86:25.610,"[24, 48]"
2-stop M→S→S   ,86:25.610,"[24, 42]"
2-stop M→S→S   ,86:25.610,"[24, 48]"
2-stop S→S→M   ,86:25.612,"[20, 46]"
2-stop S→S→M   ,86:25.612,"[26, 46]"
2-stop S→M→S   ,86:25.612,"[20, 40]"
2-stop S→M→S   ,86:25.612,"[26, 46]"
2-stop M→S→S   ,86:25.612,"[20, 40]"
2-stop M→S→S   ,86:25.612,"[20, 46]"
2-stop S→S→M   ,86:25.705,"[23, 49]"
2-stop S→S→M   ,86:25.705,"[26, 49]"
2-stop S→M→S   ,86:25.705,"[23, 40]"
2-stop S→M→S   ,86:25.705,"[26, 43]"
2-stop M→S→S   ,86:25.705,"[17, 40]"
2-stop M→S→S   ,86:25.705,"[17, 43]"
2-stop S→S→M   ,86:25.780,"[18, 39]"
2-stop S→S→M   ,86:25.780,"[21, 39]"
2-stop S→M→S   ,86:25.780,"[18, 45]"
2-stop S→M→S   ,86:25.780,"[21, 48]"
2-stop M→S→S   ,86:25.780,"[27, 45]"
2-stop M→S→S   ,86:25.780,"[27, 48]"
2-stop S→S→M   ,86:25.906,"[18, 43]"
2-stop S→S→M   ,86:25.906,"[25, 43]"
2-stop S→M→S   ,86:25.906,"[18, 41]"
2-stop S→M→S   ,86:25.906,"[25, 48]"
2-stop M→S→S   ,86:25.906,"[23, 41]"
2-stop M→S→S   ,86:25.906,"[23, 48]"
2-stop S→S→M   ,86:25.907,"[19, 45]"
2-stop S→S→M   ,86:25.907,"[26, 45]"
2-stop S→M→S   ,86:25.907,"[19, 40]"
2-stop S→M→S   ,86:25.907,"[26, 47]"
2-stop M→S→S   ,86:25.907,"[21, 40]"
2-stop M→S→S   ,86:25.907,"[21, 47]"
2-stop S→S→M   ,86:25.927,"[25, 50]"
2-stop S→M→S   ,86:25.927,"[25, 41]"
2-stop M→S→S   ,86:25.927,"[16, 41]"
2-stop S→S→M   ,86:26.062,"[24, 50]"
2-stop S→S→M   ,86:26.062,"[26, 50]"
2-stop S→M→S   ,86:26.062,"[24, 40]"
2-stop S→M→S   ,86:26.062,"[26, 42]"
2-stop M→S→S   ,86:26.062,"[16, 40]"
2-stop M→S→S   ,86:26.062,"[16, 42]"
2-stop S→S→M   ,86:26.161,"[19, 38]"
2-stop S→M→S   ,86:26.161,"[19, 47]"
2-stop M→S→S   ,86:26.161,"[28, 47]"
2-stop S→S→M   ,86:26.182,"[17, 40]"
2-stop S→S→M   ,86:26.182,"[23, 40]"
2-stop S→M→S   ,86:26.182,"[17, 43]"
2-stop S→M→S   ,86:26.182,"[23, 49]"
2-stop M→S→S   ,86:26.182,"[26, 43]"
2-stop M→S→S   ,86:26.182,"[26, 49]"
2-stop S→S→M   ,86:26.186,"[21, 48]"
2-stop S→S→M   ,86:26.186,"[27, 48]"
2-stop S→M→S   ,86:26.186,"[21, 39]"
2-stop S→M→S   ,86:26.186,"[27, 45]"
2-stop M→S→S   ,86:26.186,"[18, 39]"
2-stop M→S→S   ,86:26.186,"[18, 45]"
2-stop S→S→M   ,86:26.245,"[22, 49]"
2-stop S→S→M   ,86:26.245,"[27, 49]"
2-stop S→M→S   ,86:26.245,"[22, 39]"
2-stop S→M→S   ,86:26.245,"[27, 44]"
2-stop M→S→S   ,86:26.245,"[17, 39]"
2-stop M→S→S   ,86:26.245,"[17, 44]"
2-stop S→S→M   ,86:26.287,"[17, 41]"
2-stop S→S→M   ,86:26.287,"[24, 41]"
2-stop S→M→S   ,86:26.287,"[17, 42]"
2-stop S→M→S   ,86:26.287,"[24, 49]"
2-stop M→S→S   ,86:26.287,"[25, 42]"
2-stop M→S→S   ,86:26.287,"[25, 49]"
2-stop S→S→M   ,86:26.290,"[20, 47]"
2-stop S→S→M   ,86:26.290,"[27, 47]"
2-stop S→M→S   ,86:26.290,"[20, 39]"
2-stop S→M→S   ,86:26.290,"[27, 46]"
2-stop M→S→S   ,86:26.290,"[19, 39]"
2-stop M→S→S   ,86:26.290,"[19, 46]"
2-stop S→S→M   ,86:26.296,"[18, 38]"
2-stop S→S→M   ,86:26.296,"[20, 38]"
2-stop S→M→S   ,86:26.296,"[18, 46]"
2-stop S→M→S   ,86:26.296,"[20, 48]"
2-stop M→S→S   ,86:26.296,"[28, 46]"
2-stop M→S→S   ,86:26.296,"[28, 48]"
2-stop S→S→M   ,86:26.320,"[17, 39]"
2-stop S→S→M   ,86:26.320,"[22, 39]"
2-stop S→M→S   ,86:26.320,"[17, 44]"
2-stop S→M→S   ,86:26.320,"[22, 49]"
2-stop M→S→S   ,86:26.320,"[27, 44]"
2-stop M→S→S   ,86:26.320,"[27, 49]"
2-stop S→S→M   ,86:26.365,"[18, 44]"
2-stop S→S→M   ,86:26.365,"[26, 44]"
2-stop S→M→S   ,86:26.365,"[18, 40]"
2-stop S→M→S   ,86:26.365,"[26, 48]"
2-stop M→S→S   ,86:26.365,"[22, 40]"
2-stop M→S→S   ,86:26.365,"[22, 48]"
2-stop S→S→M   ,86:26.467,"[23, 50]"
2-stop S→S→M   ,86:26.467,"[27, 50]"
2-stop S→M→S   ,86:26.467,"[23, 39]"
2-stop S→M→S   ,86:26.467,"[27, 43]"
2-stop M→S→S   ,86:26.467,"[16, 39]"
2-stop M→S→S   ,86:26.467,"[16, 43]"
2-stop S→S→M   ,86:26.555,"[17, 42]"
2-stop S→S→M   ,86:26.555,"[25, 42]"
2-stop S→M→S   ,86:26.555,"[17, 41]"
2-stop S→M→S   ,86:26.555,"[25, 49]"
2-stop M→S→S   ,86:26.555,"[24, 41]"
2-stop M→S→S   ,86:26.555,"[24, 49]"
2-stop S→S→M   ,86:26.557,"[27, 46]"
2-stop S→M→S   ,86:26.557,"[27, 47]"
2-stop S→S→M   ,86:26.557,"[19, 46]"
2-stop S→M→S   ,86:26.557,"[19, 39]"
2-stop M→S→S   ,86:26.557,"[20, 39]"
2-stop M→S→S   ,86:26.557,"[20, 47]"
2-stop S→S→M   ,86:26.582,"[25, 51]"
2-stop S→S→M   ,86:26.582,"[26, 51]"
2-stop S→M→S   ,86:26.582,"[25, 40]"
2-stop S→M→S   ,86:26.582,"[26, 41]"
2-stop M→S→S   ,86:26.582,"[15, 40]"
2-stop M→S→S   ,86:26.582,"[15, 41]"
2-stop S→S→M   ,86:26.701,"[17, 38]"
2-stop S→S→M   ,86:26.701,"[21, 38]"
2-stop S→M→S   ,86:26.701,"[17, 45]"
2-stop S→M→S   ,86:26.701,"[21, 49]"
2-stop M→S→S   ,86:26.701,"[28, 45]"
2-stop M→S→S   ,86:26.701,"[28, 49]"
2-stop S→S→M   ,86:26.852,"[24, 51]"
2-stop S→S→M   ,86:26.852,"[27, 51]"
2-stop S→M→S   ,86:26.852,"[24, 39]"
2-stop S→M→S   ,86:26.852,"[27, 42]"
2-stop M→S→S   ,86:26.852,"[15, 42]"
2-stop M→S→S   ,86:26.852,"[15, 39]"
2-stop S→S→M   ,86:26.986,"[17, 43]"
2-stop S→S→M   ,86:26.986,"[26, 43]"
2-stop S→M→S   ,86:26.986,"[17, 40]"
2-stop S→M→S   ,86:26.986,"[26, 49]"
2-stop M→S→S   ,86:26.986,"[23, 40]"
2-stop M→S→S   ,86:26.986,"[23, 49]"
2-stop S→S→M   ,86:26.987,"[18, 45]"
2-stop S→S→M   ,86:26.987,"[27, 45]"
2-stop S→M→S   ,86:26.987,"[18, 39]"
2-stop S→M→S   ,86:26.987,"[27, 48]"
2-stop M→S→S   ,86:26.987,"[21, 39]"
2-stop M→S→S   ,86:26.987,"[21, 48]"
2-stop S→S→M   ,86:27.027,"[16, 40]"
2-stop S→S→M   ,86:27.027,"[24, 40]"
2-stop S→M→S   ,86:27.027,"[16, 42]"
2-stop S→M→S   ,86:27.027,"[24, 50]"
2-stop M→S→S   ,86:27.027,"[26, 42]"
2-stop M→S→S   ,86:27.027,"[26, 50]"
2-stop S→M→S   ,86:27.030,"[16, 43]"
2-stop S→M→S   ,86:27.030,"[23, 50]"
2-stop S→S→M   ,86:27.030,"[16, 39]"
2-stop S→S→M   ,86:27.030,"[23, 39]"
2-stop M→S→S   ,86:27.030,"[27, 43]"
2-stop M→S→S   ,86:27.030,"[27, 50]"
2-stop S→S→M   ,86:27.055,"[18, 37]"
2-stop S→S→M   ,86:27.055,"[19, 37]"
2-stop S→S→M   ,86:27.055,"[21, 49]"
2-stop S→S→M   ,86:27.055,"[28, 49]"
2-stop S→M→S   ,86:27.055,"[18, 47]"
2-stop S→M→S   ,86:27.055,"[19, 48]"
2-stop S→M→S   ,86:27.055,"[21, 38]"
2-stop S→M→S   ,86:27.055,"[28, 45]"
2-stop M→S→S   ,86:27.055,"[17, 38]"
2-stop M→S→S   ,86:27.055,"[17, 45]"
2-stop M→S→S   ,86:27.055,"[29, 47]"
2-stop M→S→S   ,86:27.055,"[29, 48]"
2-stop S→S→M   ,86:27.131,"[20, 48]"
2-stop S→S→M   ,86:27.131,"[28, 48]"
2-stop S→M→S   ,86:27.131,"[20, 38]"
2-stop S→M→S   ,86:27.131,"[28, 46]"
2-stop M→S→S   ,86:27.131,"[18, 38]"
2-stop M→S→S   ,86:27.131,"[18, 46]"
2-stop S→S→M   ,86:27.142,"[22, 50]"
2-stop S→S→M   ,86:27.142,"[28, 50]"
2-stop S→M→S   ,86:27.142,"[22, 38]"
2-stop S→M→S   ,86:27.142,"[28, 44]"
2-stop M→S→S   ,86:27.142,"[16, 38]"
2-stop M→S→S   ,86:27.142,"[16, 44]"
2-stop S→S→M   ,86:27.265,"[26, 52]"
2-stop S→M→S   ,86:27.265,"[26, 40]"
2-stop M→S→S   ,86:27.265,"[14, 40]"
2-stop S→S→M   ,86:27.267,"[16, 41]"
2-stop S→S→M   ,86:27.267,"[25, 41]"
2-stop S→M→S   ,86:27.267,"[16, 41]"
2-stop S→M→S   ,86:27.267,"[25, 50]"
2-stop M→S→S   ,86:27.267,"[25, 41]"
2-stop M→S→S   ,86:27.267,"[25, 50]"
2-stop S→S→M   ,86:27.276,"[16, 38]"
2-stop S→S→M   ,86:27.276,"[22, 38]"
2-stop S→M→S   ,86:27.276,"[16, 44]"
2-stop S→M→S   ,86:27.276,"[22, 50]"
2-stop M→S→S   ,86:27.276,"[28, 44]"
2-stop M→S→S   ,86:27.276,"[28, 50]"
2-stop S→S→M   ,86:27.325,"[17, 37]"
2-stop S→S→M   ,86:27.325,"[20, 37]"
2-stop S→M→S   ,86:27.325,"[17, 46]"
2-stop S→M→S   ,86:27.325,"[20, 49]"
2-stop M→S→S   ,86:27.325,"[29, 46]"
2-stop M→S→S   ,86:27.325,"[29, 49]"
2-stop S→S→M   ,86:27.370,"[19, 47]"
2-stop S→S→M   ,86:27.370,"[28, 47]"
2-stop S→M→S   ,86:27.370,"[19, 38]"
2-stop S→M→S   ,86:27.370,"[28, 47]"
2-stop M→S→S   ,86:27.370,"[19, 38]"
2-stop M→S→S   ,86:27.370,"[19, 47]"
2-stop S→S→M   ,86:27.392,"[28, 51]"
2-stop S→M→S   ,86:27.392,"[23, 38]"
2-stop S→M→S   ,86:27.392,"[28, 43]"
2-stop S→S→M   ,86:27.392,"[23, 51]"
2-stop M→S→S   ,86:27.392,"[15, 38]"
2-stop M→S→S   ,86:27.392,"[15, 43]"
2-stop S→S→M   ,86:27.400,"[25, 52]"
2-stop S→S→M   ,86:27.400,"[27, 52]"
2-stop S→M→S   ,86:27.400,"[25, 39]"
2-stop S→M→S   ,86:27.400,"[27, 41]"
2-stop M→S→S   ,86:27.400,"[14, 39]"
2-stop M→S→S   ,86:27.400,"[14, 41]"
2-stop S→S→M   ,86:27.580,"[17, 44]"
2-stop S→S→M   ,86:27.580,"[27, 44]"
2-stop S→M→S   ,86:27.580,"[17, 39]"
2-stop S→M→S   ,86:27.580,"[27, 49]"
2-stop M→S→S   ,86:27.580,"[22, 39]"
2-stop M→S→S   ,86:27.580,"[22, 49]"
2-stop S→S→M   ,86:27.670,"[16, 42]"
2-stop S→S→M   ,86:27.670,"[26, 42]"
2-stop S→M→S   ,86:27.670,"[16, 40]"
2-stop S→M→S   ,86:27.670,"[26, 50]"
2-stop M→S→S   ,86:27.670,"[24, 40]"
2-stop M→S→S   ,86:27.670,"[24, 50]"
2-stop S→S→M   ,86:27.765,"[16, 37]"
2-stop S→S→M   ,86:27.765,"[21, 37]"
2-stop S→M→S   ,86:27.765,"[16, 45]"
2-stop S→M→S   ,86:27.765,"[21, 50]"
2-stop M→S→S   ,86:27.765,"[29, 45]"
2-stop M→S→S   ,86:27.765,"[29, 50]"
2-stop S→S→M   ,86:27.772,"[18, 46]"
2-stop S→S→M   ,86:27.772,"[28, 46]"
2-stop S→M→S   ,86:27.772,"[18, 38]"
2-stop S→M→S   ,86:27.772,"[28, 48]"
2-stop M→S→S   ,86:27.772,"[20, 38]"
2-stop M→S→S   ,86:27.772,"[20, 48]"
2-stop S→S→M   ,86:27.805,"[24, 52]"
2-stop S→S→M   ,86:27.805,"[28, 52]"
2-stop S→M→S   ,86:27.805,"[24, 38]"
2-stop S→M→S   ,86:27.805,"[28, 42]"
2-stop M→S→S   ,86:27.805,"[14, 38]"
2-stop M→S→S   ,86:27.805,"[14, 42]"
2-stop S→S→M   ,86:27.910,"[15, 39]"
2-stop S→S→M   ,86:27.910,"[24, 39]"
2-stop S→M→S   ,86:27.910,"[15, 42]"
2-stop S→M→S   ,86:27.910,"[24, 51]"
2-stop M→S→S   ,86:27.910,"[27, 42]"
2-stop M→S→S   ,86:27.910,"[27, 51]"
2-stop S→M→S   ,86:28.021,"[23, 51]"
2-stop S→S→M   ,86:28.021,"[15, 38]"
2-stop S→S→M   ,86:28.021,"[23, 38]"
2-stop S→M→S   ,86:28.021,"[15, 43]"
2-stop M→S→S   ,86:28.021,"[28, 43]"
2-stop M→S→S   ,86:28.021,"[28, 51]"
2-stop S→S→M   ,86:28.042,"[15, 40]"
2-stop S→S→M   ,86:28.042,"[25, 40]"
2-stop S→M→S   ,86:28.042,"[15, 41]"
2-stop S→M→S   ,86:28.042,"[25, 51]"
2-stop M→S→S   ,86:28.042,"[26, 41]"
2-stop M→S→S   ,86:28.042,"[26, 51]"
2-stop S→S→M   ,86:28.057,"[18, 36]"
2-stop S→M→S   ,86:28.057,"[18, 48]"
2-stop M→S→S   ,86:28.057,"[30, 48]"
2-stop S→S→M   ,86:28.087,"[21, 50]"
2-stop S→S→M   ,86:28.087,"[29, 50]"
2-stop S→M→S   ,86:28.087,"[21, 37]"
2-stop S→M→S   ,86:28.087,"[29, 45]"
2-stop M→S→S   ,86:28.087,"[16, 37]"
2-stop M→S→S   ,86:28.087,"[16, 45]"
2-stop S→S→M   ,86:28.111,"[26, 53]"
2-stop S→S→M   ,86:28.111,"[27, 53]"
2-stop S→M→S   ,86:28.111,"[26, 39]"
2-stop S→M→S   ,86:28.111,"[27, 40]"
2-stop M→S→S   ,86:28.111,"[13, 39]"
2-stop M→S→S   ,86:28.111,"[13, 40]"
2-stop S→S→M   ,86:28.135,"[20, 49]"
2-stop S→S→M   ,86:28.135,"[29, 49]"
2-stop S→M→S   ,86:28.135,"[20, 37]"
2-stop S→M→S   ,86:28.135,"[29, 46]"
2-stop M→S→S   ,86:28.135,"[17, 37]"
2-stop M→S→S   ,86:28.135,"[17, 46]"
2-stop S→S→M   ,86:28.192,"[17, 36]"
2-stop S→S→M   ,86:28.192,"[19, 36]"
2-stop S→M→S   ,86:28.192,"[17, 47]"
2-stop S→M→S   ,86:28.192,"[19, 49]"
2-stop M→S→S   ,86:28.192,"[30, 47]"
2-stop M→S→S   ,86:28.192,"[30, 49]"
2-stop S→S→M   ,86:28.202,"[22, 51]"
2-stop S→S→M   ,86:28.202,"[29, 51]"
2-stop S→M→S   ,86:28.202,"[22, 37]"
2-stop S→M→S   ,86:28.202,"[29, 44]"
2-stop M→S→S   ,86:28.202,"[15, 37]"
2-stop M→S→S   ,86:28.202,"[15, 44]"
2-stop S→S→M   ,86:28.236,"[16, 43]"
2-stop S→S→M   ,86:28.236,"[27, 43]"
2-stop S→M→S   ,86:28.236,"[16, 39]"
2-stop S→M→S   ,86:28.236,"[27, 50]"
2-stop M→S→S   ,86:28.236,"[23, 39]"
2-stop M→S→S   ,86:28.236,"[23, 50]"
2-stop S→S→M   ,86:28.337,"[17, 45]"
2-stop S→S→M   ,86:28.337,"[28, 45]"
2-stop S→M→S   ,86:28.337,"[17, 38]"
2-stop S→M→S   ,86:28.337,"[28, 49]"
2-stop M→S→S   ,86:28.337,"[21, 38]"
2-stop M→S→S   ,86:28.337,"[21, 49]"
2-stop S→S→M   ,86:28.346,"[19, 48]"
2-stop S→S→M   ,86:28.346,"[29, 48]"
2-stop S→M→S   ,86:28.346,"[19, 37]"
2-stop S→M→S   ,86:28.346,"[29, 47]"
2-stop M→S→S   ,86:28.346,"[18, 37]"
2-stop M→S→S   ,86:28.346,"[18, 47]"
2-stop S→S→M   ,86:28.375,"[15, 37]"
2-stop S→S→M   ,86:28.375,"[22, 37]"
2-stop S→M→S   ,86:28.375,"[15, 44]"
2-stop S→M→S   ,86:28.375,"[22, 51]"
2-stop M→S→S   ,86:28.375,"[29, 44]"
2-stop M→S→S   ,86:28.375,"[29, 51]"
2-stop S→S→M   ,86:28.381,"[25, 53]"
2-stop S→S→M   ,86:28.381,"[28, 53]"
2-stop S→M→S   ,86:28.381,"[25, 38]"
2-stop S→M→S   ,86:28.381,"[28, 41]"
2-stop M→S→S   ,86:28.381,"[13, 38]"
2-stop M→S→S   ,86:28.381,"[13, 41]"
2-stop S→S→M   ,86:28.417,"[15, 41]"
2-stop S→S→M   ,86:28.417,"[26, 41]"
2-stop S→M→S   ,86:28.417,"[15, 40]"
2-stop S→M→S   ,86:28.417,"[26, 51]"
2-stop M→S→S   ,86:28.417,"[25, 40]"
2-stop M→S→S   ,86:28.417,"[25, 51]"
2-stop S→S→M   ,86:28.480,"[23, 52]"
2-stop S→S→M   ,86:28.480,"[29, 52]"
2-stop S→M→S   ,86:28.480,"[23, 37]"
2-stop S→M→S   ,86:28.480,"[29, 43]"
2-stop M→S→S   ,86:28.480,"[14, 37]"
2-stop M→S→S   ,86:28.480,"[14, 43]"
2-stop S→S→M   ,86:28.497,"[16, 36]"
2-stop S→S→M   ,86:28.497,"[20, 36]"
2-stop S→M→S   ,86:28.497,"[16, 46]"
2-stop S→M→S   ,86:28.497,"[20, 50]"
2-stop M→S→S   ,86:28.497,"[30, 46]"
2-stop M→S→S   ,86:28.497,"[30, 50]"
2-stop S→S→M   ,86:28.720,"[18, 47]"
2-stop S→S→M   ,86:28.720,"[29, 47]"
2-stop S→M→S   ,86:28.720,"[18, 37]"
2-stop S→M→S   ,86:28.720,"[29, 48]"
